model_name,query_idx,query,gold_title,top1_title,top1_distance,top1_document,top2_title,top2_distance,top2_document,top3_title,top3_distance,top3_document,top4_title,top4_distance,top4_document,top5_title,top5_distance,top5_document,top6_title,top6_distance,top6_document,correct_rank,top1_accuracy,top6_recall
qwen3_embedding_0.6b,1,지게차 운전자의 안전수칙이 있는 OPS 검색해줘,[특수형태근로종사자] 지게차,[안전기준] 지게차,0.5002411007881165,"[TITLE] [안전기준] 지게차
[SUMMARY] 산업안전보건기준에 관한 규칙 OPS 자료",지게차 안전수칙이 생명수칙,0.5367641448974609,"[TITLE] 지게차 안전수칙이 생명수칙
[SUMMARY] 지게차 안전수칙이 생명수칙 1. 면허 소지자가 운전 2. 운전자 시야 확보 3. 좌석 안전벨트 착용",[이지애의 안전있수다] 지게차 재해예방(화물 적재),0.5710851550102234,"[TITLE] [이지애의 안전있수다] 지게차 재해예방(화물 적재)
[SUMMARY] - 아나운서 이지애와 함께하는 지게차 재해예방 쇼츠(Shorts) 영상 - 안전한 지게차 작업을 위한 핵심 안전수칙을 확인해보세요",[이지애의 안전있수다] 지게차 떨어짐 재해예방(지게차 용도 외 사용 금지)(16개국어),0.5743200778961182,"[TITLE] [이지애의 안전있수다] 지게차 떨어짐 재해예방(지게차 용도 외 사용 금지)(16개국어)
[SUMMARY] - 아나운서 이지애와 함께하는 지게차 떨어짐 재해예방 쇼츠(Shorts) 영상 - 안전한 지게차 작업을 위한 핵심 안전수칙을 확인해보세요",[이지애의 안전있수다] 지게차 깔림 재해예방(제한속도 준수 및 안전벨트 착용),0.5752757787704468,"[TITLE] [이지애의 안전있수다] 지게차 깔림 재해예방(제한속도 준수 및 안전벨트 착용)
[SUMMARY] - 아나운서 이지애와 함께하는 지게차 깔림 재해예방 쇼츠(Shorts) 영상 - 안전한 지게차 작업을 위한 핵심 안전수칙을 확인해보세요",[이지애의 안전있수다] 지게차 떨어짐 재해예방(지게차 용도 외 사용 금지),0.5819195508956909,"[TITLE] [이지애의 안전있수다] 지게차 떨어짐 재해예방(지게차 용도 외 사용 금지)
[SUMMARY] - 아나운서 이지애와 함께하는 지게차 떨어짐 재해예방 쇼츠(Shorts) 영상 - 안전한 지게차 작업을 위한 핵심 안전수칙을 확인해보세요",,0,0
qwen3_embedding_0.6b,2,물류창고에서 후진 중 충돌사고 예방자료 찾아줘,[중대재해사례 OPL]동료작업자가 후진하는 지게차에 부딪힘,안전한 물류창고 만들기 체크리스트,0.6620805859565735,"[TITLE] 안전한 물류창고 만들기 체크리스트
[SUMMARY] 동 체크리스트를 통하여 물류창고업 사업주 또는 안전담당자가 해당 사업장의 안전수준을 스스로 진단, 미흡한 사항에 대해서는 사업장 근로자들의 안전을 위해서 개선할 수 있도록 독려","[충돌] 트럭류(덤프, 화물) 차량 작업",0.6800698041915894,"[TITLE] [충돌] 트럭류(덤프, 화물) 차량 작업
[SUMMARY] 해당 VR 콘텐츠는 4대 악성사고인 충돌 사고 등을 예방하기 위해 트럭류(덤프, 화물) 차량 취급 작업 시 관련 유해,위험요인, 안전대책 등을 담은 교육 자료로 기존 교안(PPT)을 대용하시면 됩니다.<br><p>&nbsp;</p>",냉동ㆍ물류창고 화재사고예방 매뉴얼,0.7116551399230957,"[TITLE] 냉동ㆍ물류창고 화재사고예방 매뉴얼
[SUMMARY] 냉동ㆍ물류창고 화재사고예방 매뉴얼",냉동물류창고 화재사고예방 매뉴얼(개정판),0.7182087898254395,"[TITLE] 냉동물류창고 화재사고예방 매뉴얼(개정판)
[SUMMARY] 냉동물류창고 화재사고예방 매뉴얼(개정판)",&lt;한국토지주택공사&gt; 건설현장 굴착기 후진 중 충돌 등 VR콘텐츠-3,0.7440340518951416,"[TITLE] &lt;한국토지주택공사&gt; 건설현장 굴착기 후진 중 충돌 등 VR콘텐츠-3
[SUMMARY] 본 콘텐츠는 한국토지주택공사(LH)에서 우리 공단과의 업무협약의 일환으로 <br>사업장 안전보건교육을 위해 ""건설현장 사고사례 12가지""를 주제로 제작한 안전보건 VR콘텐츠입니다.<br><br> 1편 : (1) 토사 붕괴로 매몰, (2) 관 절단 중 파편에 찔림, (3) 중량물 인양 중 자재에 깔림<br> 2편 : (1) 거푸집 단부 추락, (2) 크레인 중량물 인양 중 깔림, (3) 사다리 작업 중 추락<br> 3편 : ",폐기물처리업 탱크저장소 사망사고 예방 OPL,0.7493453621864319,"[TITLE] 폐기물처리업 탱크저장소 사망사고 예방 OPL
[SUMMARY] 폐기물처리업 탱크저장소 사망사고 예방 및 탱크저장소 체크리스트 안내",,0,0
qwen3_embedding_0.6b,3,포크에 화물 싣고 이동할 때 주의사항 자료,지게차 재해사례와 위험요인,[한 눈에 보는] 화물차 주요 작업안전수칙 포스터,0.8321684002876282,"[TITLE] [한 눈에 보는] 화물차 주요 작업안전수칙 포스터
[SUMMARY] 화물운반트럭을 이용한 작업 시 꼭 알아야 할 주요 안전수칙에 대한 인포그래픽 포스터 ※ 본 포스터는 모든 의무사항을 포함하고 있지 않으므로 자세한 내용은 산업안전보건법을 참고하시길 바랍니다.",인양 중인 화물의 낙하 예방 포스터(파키스탄),0.8841439485549927,"[TITLE] 인양 중인 화물의 낙하 예방 포스터(파키스탄)
[SUMMARY] (파키스탄)외국인 노동자용 안전보건 포스터 사람이든 화물이든, 떨어지면 죽습니다 - 위험반경 내 출입금지, 작업지휘자 또는 유도자 배치, 작업계획서 작성·준수",[안전쏙] 화물자동차(후진 시 주의),0.8880044221878052,"[TITLE] [안전쏙] 화물자동차(후진 시 주의)
[SUMMARY] ㅇ 안전을 한눈에 쏙! 화물자동차에 대한 안전 쇼츠(Shorts) 영상 ㅇ 사고사례와 안전수칙을 2D 그래픽으로 이해하기 쉽게! ※ 사고사례는 실제 사례를 바탕으로 재구성",[안전쏙] 화물자동차(적재함),0.90370774269104,"[TITLE] [안전쏙] 화물자동차(적재함)
[SUMMARY] ㅇ 안전을 한눈에 쏙! 화물자동차에 대한 안전 쇼츠(Shorts) 영상 ㅇ 사고사례와 안전수칙을 2D 그래픽으로 이해하기 쉽게! ※ 사고사례는 실제 사례를 바탕으로 재구성",[안전쏙] 화물자동차(유자격자 운전 및 이탈 시 조치),0.9037285447120667,"[TITLE] [안전쏙] 화물자동차(유자격자 운전 및 이탈 시 조치)
[SUMMARY] ㅇ 안전을 한눈에 쏙! 화물자동차에 대한 안전 쇼츠(Shorts) 영상 ㅇ 사고사례와 안전수칙을 2D 그래픽으로 이해하기 쉽게! ※ 사고사례는 실제 사례를 바탕으로 재구성",[안전쏙] 화물자동차(밀림방지 조치),0.9110486507415771,"[TITLE] [안전쏙] 화물자동차(밀림방지 조치)
[SUMMARY] ㅇ 안전을 한눈에 쏙! 화물자동차에 대한 안전 쇼츠(Shorts) 영상 ㅇ 사고사례와 안전수칙을 2D 그래픽으로 이해하기 쉽게! ※ 사고사례는 실제 사례를 바탕으로 재구성",,0,0
qwen3_embedding_0.6b,4,상하차 작업 안전보건 OPS 찾아줘,지게차 재해사례와 위험요인,[VR 콘텐츠 미리보기] 화물자동차 재해사례 OPS,0.6352893114089966,"[TITLE] [VR 콘텐츠 미리보기] 화물자동차 재해사례 OPS
[SUMMARY] 2024년도 VR 화물자동차 상하차 작업 콘텐츠 속 핵심 내용을 담았습니다. 화물자동차 상하차 작업의 유해·위험요인과 안전수칙을 확인하세요. ○ 위험 요소 · 화물 상차 시 불안정한 적재 및 결박 불량 · 지게차 작업구역 근로자 접근 금지 미실시 · 천막씌우기 작업 시, 지상에서 유도로프 미사용, 개인보호구 미착용 · 주기적인 실내 환기 및 휴식 미실시로 인한 졸음 운전 - VR 영상 링크 : https://360vr.kosha.or.kr/conte",화물 상·하차 작업,0.6476250886917114,"[TITLE] 화물 상·하차 작업
[SUMMARY] 안전보건 실무길잡이를 바탕으로 만든 화물 상·하차 작업안전 교안입니다.",[관리자용] 화물용 승강기 작업안전,0.6725668907165527,"[TITLE] [관리자용] 화물용 승강기 작업안전
[SUMMARY] 위험기계·기구(화물용 승강기) 작업안전에 관한 관리자용 OPS 자료입니다.",[안전기준] 차량계 하역운반기계,0.6761530637741089,"[TITLE] [안전기준] 차량계 하역운반기계
[SUMMARY] 산업안전보건기준에 관한 규칙 OPS 자료",안전보건교육 대상여부 조회시스템 및 고용노동부 지정 안전보건교육기관 사칭 주의 OPS,0.6774495840072632,"[TITLE] 안전보건교육 대상여부 조회시스템 및 고용노동부 지정 안전보건교육기관 사칭 주의 OPS
[SUMMARY] 안전보건교육 대상여부 조회시스템 및 고용노동부 지정 안전보건교육기관 사칭을 방지하기 위한 검색 시스템을 공단 홈페이지 및 앱에 도입하여 해당 내용을 안내 및 홍보하기 위한 OPS 디자인 제작",화물차량 운전원(차주) 운전작업(상하차 포함) 가이드,0.6781083345413208,"[TITLE] 화물차량 운전원(차주) 운전작업(상하차 포함) 가이드
[SUMMARY] 1. 화물차량 운전원 직종의 현황 2. 산업재해현황 3. 화물차량 운전원 직종의 재해예방 4. 차량 운전작업 단계별 안전보건자료 5. 상하차 작업 재해사례 6. 상하차 작업 가이드 7. 상하차 작업 캠페인 * 전국 교통문화연수원(13개 기관)에 화물자동차 운수종사자 교육에 활용하도록 파일 형태로 제공",,0,0
qwen3_embedding_0.6b,5,지게차 작업 전 점검표 OPS 자료 검색,작업 전 안전점검(지게차) - 자율안전점검표 포함,"[외국인]차량계 건설기계 작업 전 안전점검 OPS (네팔어,베트남어,영어,우즈벡어,중국어,태국어)",0.5553858280181885,"[TITLE] [외국인]차량계 건설기계 작업 전 안전점검 OPS (네팔어,베트남어,영어,우즈벡어,중국어,태국어)
[SUMMARY] 차량계 건설기계 작업 전 안전점검 (네팔어,베트남어,영어,우즈벡어,중국어,태국어)",지게차 작업안전(16개국어),0.6326899528503418,"[TITLE] 지게차 작업안전(16개국어)
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 근로자용 OPS 자료입니다.",[관리자용] 지게차 작업안전,0.6391382813453674,"[TITLE] [관리자용] 지게차 작업안전
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 관리자용 OPS 자료입니다.",[작업전 안전점검 OPL_설비별] 지게차,0.6394363045692444,"[TITLE] [작업전 안전점검 OPL_설비별] 지게차
[SUMMARY] [작업전 안전점검 OPL_설비별] 지게차",[근로자용] 지게차 작업안전,0.6468579173088074,"[TITLE] [근로자용] 지게차 작업안전
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 근로자용 OPS 자료입니다.",2022 위험기계기구 고소작업대 재해예방 OPS 및 안전점검표,0.6571475267410278,"[TITLE] 2022 위험기계기구 고소작업대 재해예방 OPS 및 안전점검표
[SUMMARY] 2022년도 사망사고감소를 위한 유해·위험 기계·기구(고소작업대) 재해 예방 OPS 및 안전점검표",,0,0
qwen3_embedding_0.6b,6,지붕공사 작업안전수칙 찾아줘,축사 지붕공사 추락사고 예방 OPS,[한 눈에 보는] 지붕공사 주요 작업안전수칙 포스터,0.5414876937866211,"[TITLE] [한 눈에 보는] 지붕공사 주요 작업안전수칙 포스터
[SUMMARY] 지붕 작업 시 꼭 알아야 할 주요 안전수칙에 대한 인포그래픽 포스터 ※ 본 포스터는 모든 의무사항을 포함하고 있지 않으므로 자세한 내용은 산업안전보건법을 참고하시길 바랍니다.",지붕공사 작업안전(개정판),0.5476034879684448,"[TITLE] 지붕공사 작업안전(개정판)
[SUMMARY] 지붕공사 작업안전 매뉴얼 개정판",지붕공사 작업안전 OPS,0.604641854763031,"[TITLE] 지붕공사 작업안전 OPS
[SUMMARY] 지붕공사 작업안전 OPS",천공기 작업안전수칙 OPS,0.633504331111908,"[TITLE] 천공기 작업안전수칙 OPS
[SUMMARY] 천공기 작업안전수칙 OPS",[안전보건규칙 개정] 지붕작업 안전수칙,0.6351656913757324,"[TITLE] [안전보건규칙 개정] 지붕작업 안전수칙
[SUMMARY] 산업안전보건기준에 관한 규칙이 개정(2021.11.19.시행)됨에 따라 지붕작업 안전수칙을 안내해드립니다.",터널공사시 작업안전수칙,0.6406874656677246,"[TITLE] 터널공사시 작업안전수칙
[SUMMARY] 터널공사시 작업안전수칙",,0,0
qwen3_embedding_0.6b,7,회전체 끼임사고 예방 OPS 검색,[안전기준] 원동기·회전축 위험방지 등,(캠페인) 끼임사고 예방 일제점검 안내 및 자율점검표 OPS,0.6022635102272034,"[TITLE] (캠페인) 끼임사고 예방 일제점검 안내 및 자율점검표 OPS
[SUMMARY] - 끼임사고 예방 일제점검 안내 - 끼임 예방을 위한 자율점검표 - 코로나19 방역 및 폭염 관련 점검표",(캠페인) 추락·끼임사고 예방 일제점검 안내 OPS,0.6841357946395874,"[TITLE] (캠페인) 추락·끼임사고 예방 일제점검 안내 OPS
[SUMMARY] 사고사망 감축을 위한 추락·끼임사고 예방 일제점검 관련 안내",질식사고 예방 3대수칙 OPS,0.6873253583908081,"[TITLE] 질식사고 예방 3대수칙 OPS
[SUMMARY] 질식사고 예방 3대수칙 OPS",산업재해예방을 위한 OPS (전단기),0.709990918636322,"[TITLE] 산업재해예방을 위한 OPS (전단기)
[SUMMARY] 산업재해예방을 위한 재해사례 및 예방대책 안내를 위한 OPS",폐기물처리업 사망사고 예방 OPS,0.7304554581642151,"[TITLE] 폐기물처리업 사망사고 예방 OPS
[SUMMARY] 폐기물처리업 사망사고 예방 OPS",정비·보수 작업 끼임 사망사고 예방,0.7336276173591614,"[TITLE] 정비·보수 작업 끼임 사망사고 예방
[SUMMARY] 정비·보수 작업 끼임 사망사고 예방 OPL 1. 핵심 실천사항 2. 사고사례 3. 주요 위험포인트",,0,0
qwen3_embedding_0.6b,8,자동라인 청소 중 사고 예방수칙,(기타제조업)자동화설비 취급작업,[안전보건 OPL]정비 보수 청소 등 비일상 작업 시 사고예방,0.6972346901893616,"[TITLE] [안전보건 OPL]정비 보수 청소 등 비일상 작업 시 사고예방
[SUMMARY] [안전보건 OPL]정비 보수 청소 등 비일상 작업 시 사고예방",[학교근로자] 일반업무 주요 재해예방 안전수칙,0.7149147987365723,"[TITLE] [학교근로자] 일반업무 주요 재해예방 안전수칙
[SUMMARY] 대구광역시교육청과 공동으로 개발한 학교 내 당직경비, 환경미화청소, 시설관리 근로자 재해예방을 위한 주요 안전수칙 자료","청소, 건물 관리 기본 안전 수칙",0.7275902032852173,"[TITLE] 청소, 건물 관리 기본 안전 수칙
[SUMMARY] 청소, 건물 관리 기본 안전 수칙",야간 선로작업 시 안전수칙,0.7393419742584229,"[TITLE] 야간 선로작업 시 안전수칙
[SUMMARY] * LG유플러스에서 제공 받은 안전보건교육 콘텐츠(숏폼) 입니다. * 단순 참고용으로만 사용하시기 바랍니다.",[모아서 보는] 굴착기 재해예방 안전수칙,0.7572188377380371,"[TITLE] [모아서 보는] 굴착기 재해예방 안전수칙
[SUMMARY] 7페이지로 압축한 굴착기 재해예방 안전수칙입니다. 업무에 참고하시기 바랍니다.",질식사고 예방 3대수칙 OPS,0.768485426902771,"[TITLE] 질식사고 예방 3대수칙 OPS
[SUMMARY] 질식사고 예방 3대수칙 OPS",,0,0
qwen3_embedding_0.6b,9,설비 정비 중 갑자기 작동하는 사고 관련 자료,LOTO 작업절차 바로알기,사망사고 유발 고위험요인(SIF) 인포그래픽 - 비정형작업(정비보수),0.7731751203536987,"[TITLE] 사망사고 유발 고위험요인(SIF) 인포그래픽 - 비정형작업(정비보수)
[SUMMARY] 사망사고 유발 고위험요인(SIF) 인포그래픽 -비정형작업(정비보수)",(제조업등)사망사고 고위험요인(SIF) 인포그래픽 - 25. 정비·수리·교체·조정(비정형 작업),0.7842527627944946,"[TITLE] (제조업등)사망사고 고위험요인(SIF) 인포그래픽 - 25. 정비·수리·교체·조정(비정형 작업)
[SUMMARY] (제조업등)사망사고 고위험요인(SIF) 인포그래픽 - 25. 정비·수리·교체·조정(비정형 작업)",비정형작업 끼임 사망사고 예방 기술자료,0.8045102953910828,"[TITLE] 비정형작업 끼임 사망사고 예방 기술자료
[SUMMARY] 비정형작업 끼임 사망사고 예방 기술자료 및 사고사례",(중국)비정형 작업(정비보수) 사망사고 유발 고위험요인(SIF),0.8237731456756592,"[TITLE] (중국)비정형 작업(정비보수) 사망사고 유발 고위험요인(SIF)
[SUMMARY] 사망사고 유발 고위험요인(SIF) 17종을 17개국 언어로 번역한 OPS 자료입니다.",(태국)비정형 작업(정비보수) 사망사고 유발 고위험요인(SIF),0.824724018573761,"[TITLE] (태국)비정형 작업(정비보수) 사망사고 유발 고위험요인(SIF)
[SUMMARY] 사망사고 유발 고위험요인(SIF) 17종을 17개국 언어로 번역한 OPS 자료입니다.",비일상 작업 시 재해예방,0.831468939781189,"[TITLE] 비일상 작업 시 재해예방
[SUMMARY] 수리, 정비, 청소 작업 등 비일상 작업 시 재해 예방을 위한 리플릿",,0,0
qwen3_embedding_0.6b,10,밀폐공간 질식사고 예방자료 검색,24년 밀폐공간 질식재해예방 안전작업 가이드,키메세지(8월_질식재해예방),0.5402690172195435,"[TITLE] 키메세지(8월_질식재해예방)
[SUMMARY] - 밀폐공간 질식재해 예방 대책 안내 - 질식재해 관련 콘텐츠 안내 (콘텐츠 바로가기 링크 탑재)",밀폐공간작업 질식재해예방,0.5529295206069946,"[TITLE] 밀폐공간작업 질식재해예방
[SUMMARY] - 밀폐공간작업 개요 - 밀폐공간작업에서의 질식재해통계 - 질식재해사례 - 작업종류별 예방대책 - 기타",밀폐공간작업 질식재해예방 매뉴얼,0.5592284202575684,"[TITLE] 밀폐공간작업 질식재해예방 매뉴얼
[SUMMARY] 밀폐공간작업시 질식재해예방을 위한 매뉴얼 - 밀폐공간개념 - 밀폐공간 파악 및 관리 - 밀폐공간작업 프로그램 - 밀폐공간작업시 조치기준 - 재해사례 등",`24년 밀폐공간 질식재해예방 안전작업 가이드,0.5810189247131348,"[TITLE] `24년 밀폐공간 질식재해예방 안전작업 가이드
[SUMMARY] `24년 밀폐공간 질식재해예방 안전작업 가이드",밀폐공간 질식재해예방 안전작업 가이드,0.6098277568817139,"[TITLE] 밀폐공간 질식재해예방 안전작업 가이드
[SUMMARY] 밀폐공간 질식재해예방 안전작업 가이드 개정",[안전보건 OPL]밀폐공간에서의 화재폭발 예방 대책,0.6141796112060547,"[TITLE] [안전보건 OPL]밀폐공간에서의 화재폭발 예방 대책
[SUMMARY] [안전보건 OPL]밀폐공간에서의 화재폭발 예방 대책",,0,0
