record_id,query_idx,query,concat
list1_52380,0,부정수급 사례 예방,"[TITLE] 부정수급 위험 사이렌 [2026-04호]
[SUMMARY] 재정지원사업 부정수급 사례를 전파하여 부정수급 예방"
list1_52380,1,재정지원사업에서 부정수급을 막는 사례 자료를 찾고 싶어요,"[TITLE] 부정수급 위험 사이렌 [2026-04호]
[SUMMARY] 재정지원사업 부정수급 사례를 전파하여 부정수급 예방"
list1_52380,2,부정수급 위험 사이렌 재정지원사업 부정수급 예방,"[TITLE] 부정수급 위험 사이렌 [2026-04호]
[SUMMARY] 재정지원사업 부정수급 사례를 전파하여 부정수급 예방"
list1_52330,0,철골작업 사망사고,"[TITLE] 건설업 사망사고 유발 SIF(철골작업)
[SUMMARY] 건설현장 내 사망사고를 유발하는 요인을 이해하기 쉽게 인포그래픽을 반영한 OPS형태로 제작"
list1_52330,1,건설현장에서 철골 작업 중 큰 사고가 나는 위험요인을 알고 싶어요,"[TITLE] 건설업 사망사고 유발 SIF(철골작업)
[SUMMARY] 건설현장 내 사망사고를 유발하는 요인을 이해하기 쉽게 인포그래픽을 반영한 OPS형태로 제작"
list1_52330,2,건설업 사망사고 유발 SIF 철골작업,"[TITLE] 건설업 사망사고 유발 SIF(철골작업)
[SUMMARY] 건설현장 내 사망사고를 유발하는 요인을 이해하기 쉽게 인포그래픽을 반영한 OPS형태로 제작"
list1_52349,0,위험성평가 인정 혜택,"[TITLE] 위험성평가 인정, 안전도 챙기고 혜택도 챙기세요!
[SUMMARY] 위험성평가 인정, 안전도 챙기고 혜택도 챙기세요!(OPS)"
list1_52349,1,위험성평가를 인정받으면 안전관리나 혜택이 어떻게 되는지 알고 싶어요,"[TITLE] 위험성평가 인정, 안전도 챙기고 혜택도 챙기세요!
[SUMMARY] 위험성평가 인정, 안전도 챙기고 혜택도 챙기세요!(OPS)"
list1_52349,2,위험성평가 인정 안전 혜택 OPS,"[TITLE] 위험성평가 인정, 안전도 챙기고 혜택도 챙기세요!
[SUMMARY] 위험성평가 인정, 안전도 챙기고 혜택도 챙기세요!(OPS)"
list1_52379,0,사업장 위험성평가,"[TITLE] 사업장 위험성평가 KRAS로 쉽고 간편하게 하세요
[SUMMARY] 사업장 위험성평가 KRAS로 쉽고 간편하게 하세요(OPS)"
