model_name,query_idx,query,gold_title,top1_title,top1_distance,top1_document,top2_title,top2_distance,top2_document,top3_title,top3_distance,top3_document,top4_title,top4_distance,top4_document,top5_title,top5_distance,top5_document,top6_title,top6_distance,top6_document,correct_rank,top1_accuracy,top6_recall
bge_m3,1,지게차 운전자의 안전수칙이 있는 OPS 검색해줘,[특수형태근로종사자] 지게차,[관리자용] 지게차 작업안전,0.5842117667198181,"[TITLE] [관리자용] 지게차 작업안전
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 관리자용 OPS 자료입니다.",[근로자용] 지게차 작업안전,0.596376895904541,"[TITLE] [근로자용] 지게차 작업안전
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 근로자용 OPS 자료입니다.",지게차 작업안전(16개국어),0.6201880574226379,"[TITLE] 지게차 작업안전(16개국어)
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 근로자용 OPS 자료입니다.",[안전기준] 지게차,0.6455181837081909,"[TITLE] [안전기준] 지게차
[SUMMARY] 산업안전보건기준에 관한 규칙 OPS 자료",지게차 안전수칙이 생명수칙,0.7096409201622009,"[TITLE] 지게차 안전수칙이 생명수칙
[SUMMARY] 지게차 안전수칙이 생명수칙 1. 면허 소지자가 운전 2. 운전자 시야 확보 3. 좌석 안전벨트 착용",장년근로자의 안전보건(운전원),0.7218171954154968,"[TITLE] 장년근로자의 안전보건(운전원)
[SUMMARY] 장년근로자(운전원)의 안전하고 건강한 근로환경 조성을 위한 OPS",,0,0
bge_m3,2,물류창고에서 후진 중 충돌사고 예방자료 찾아줘,[중대재해사례 OPL]동료작업자가 후진하는 지게차에 부딪힘,&lt;한국토지주택공사&gt; 건설현장 굴착기 후진 중 충돌 등 VR콘텐츠-3,0.7658942937850952,"[TITLE] &lt;한국토지주택공사&gt; 건설현장 굴착기 후진 중 충돌 등 VR콘텐츠-3
[SUMMARY] 본 콘텐츠는 한국토지주택공사(LH)에서 우리 공단과의 업무협약의 일환으로 <br>사업장 안전보건교육을 위해 ""건설현장 사고사례 12가지""를 주제로 제작한 안전보건 VR콘텐츠입니다.<br><br> 1편 : (1) 토사 붕괴로 매몰, (2) 관 절단 중 파편에 찔림, (3) 중량물 인양 중 자재에 깔림<br> 2편 : (1) 거푸집 단부 추락, (2) 크레인 중량물 인양 중 깔림, (3) 사다리 작업 중 추락<br> 3편 : ","[충돌] 트럭류(덤프, 화물) 차량 작업",0.8271220326423645,"[TITLE] [충돌] 트럭류(덤프, 화물) 차량 작업
[SUMMARY] 해당 VR 콘텐츠는 4대 악성사고인 충돌 사고 등을 예방하기 위해 트럭류(덤프, 화물) 차량 취급 작업 시 관련 유해,위험요인, 안전대책 등을 담은 교육 자료로 기존 교안(PPT)을 대용하시면 됩니다.<br><p>&nbsp;</p>","(HMD용) [충돌] 트럭류(덤프, 화물) 차량 작업",0.8330130577087402,"[TITLE] (HMD용) [충돌] 트럭류(덤프, 화물) 차량 작업
[SUMMARY] 해당 VR 콘텐츠는 4대 악성사고인 충돌 사고 등을 예방하기 위해 트럭류(덤프, 화물) 차량 취급 작업 시 관련 유해,위험요인, 안전대책 등을 담은교육 자료입니다. 또한 카드보드와 같은 HMD을 활용해 VR 체험을 할 수 있습니다. <p>&nbsp;</p>",&lt;한국토지주택공사&gt; 건설현장 창호 단부 작업 중 추락 등 VR콘텐츠-4,0.8340166807174683,"[TITLE] &lt;한국토지주택공사&gt; 건설현장 창호 단부 작업 중 추락 등 VR콘텐츠-4
[SUMMARY] 본 콘텐츠는 한국토지주택공사(LH)에서 우리 공단과의 업무협약의 일환으로 <br>사업장 안전보건교육을 위해 ""건설현장 사고사례 12가지""를 주제로 제작한 안전보건 VR콘텐츠입니다.<br><br> 1편 : (1) 토사 붕괴로 매몰, (2) 관 절단 중 파편에 찔림, (3) 중량물 인양 중 자재에 깔림<br> 2편 : (1) 거푸집 단부 추락, (2) 크레인 중량물 인양 중 깔림, (3) 사다리 작업 중 추락<br> 3편 ",(지게차) 안전보건 VR 충돌재해예방 교재,0.8383140563964844,"[TITLE] (지게차) 안전보건 VR 충돌재해예방 교재
[SUMMARY] 교재와 함께 VR콘텐츠를 체험하면 교육 효과가 200% - VR전용관(360vr.kosha.or.kr) 및 안전보건자료실에 접속 - VR콘텐츠를 다운로드 받은 후, 교재와 함께 근로자 교육 실시 - 교재로 배우고! VR콘텐츠로 경험하고!",[2017 안전보건 애니메이션] 덤프트럭 작업안전,0.8389613628387451,"[TITLE] [2017 안전보건 애니메이션] 덤프트럭 작업안전
[SUMMARY] o 재해 상황 - 덤프트럭이 작업 장소를 옮기고 하역할 때 후진하다가 주변을 작업자와 부딪힘 o 발생 과정 - 덤프트럭 운전수는 작업장소를 옮기고도 주변의 통제없이 운행 - 작업장소에서 덤프트럭을 후진시키는 과정에서 사각지대에 있는 근로자와 충돌 o 예방대책 - 차량용 운반기계를 이용한 작업 시 전담 유도자를 배치하여 작업 - 작업 순서를 준수하여 관련 사고를 예방해야 함 - 충돌위험장소 등에는 허가되지 않은 근로자의 출입을 통제하는 조치가 필요함 o",,0,0
bge_m3,3,포크에 화물 싣고 이동할 때 주의사항 자료,지게차 재해사례와 위험요인,[중대재해_수송용]지게차 유압호스 수리작업 중 포크 불시하강으로 깔림,0.7187211513519287,"[TITLE] [중대재해_수송용]지게차 유압호스 수리작업 중 포크 불시하강으로 깔림
[SUMMARY] 중대재해사례 OPL : 지게차 유압호스 수리작업 중 포크 불시하강으로 깔림",[한 눈에 보는] 화물차 주요 작업안전수칙 포스터,0.7245311141014099,"[TITLE] [한 눈에 보는] 화물차 주요 작업안전수칙 포스터
[SUMMARY] 화물운반트럭을 이용한 작업 시 꼭 알아야 할 주요 안전수칙에 대한 인포그래픽 포스터 ※ 본 포스터는 모든 의무사항을 포함하고 있지 않으므로 자세한 내용은 산업안전보건법을 참고하시길 바랍니다.",(OPL) 지게차 수리 중 포크 불시하강으로 깔림,0.7298764586448669,"[TITLE] (OPL) 지게차 수리 중 포크 불시하강으로 깔림
[SUMMARY] 국내 체류 외국인인 키르키스스탄 근로자를 위한 안전보건 OPL, 지게차 수리 중 포크 불시하강으로 깔리는 재해에 대한 설명과 재해사례를 담음",[중대재해사례]지게차 포크에 탑승하여 이동 중 추락,0.7536224722862244,"[TITLE] [중대재해사례]지게차 포크에 탑승하여 이동 중 추락
[SUMMARY] [중대재해사례]지게차 포크에 탑승하여 이동 중 추락",(OPL) 지게차 수리 중 포크 불시하강으로 깔림,0.756985604763031,"[TITLE] (OPL) 지게차 수리 중 포크 불시하강으로 깔림
[SUMMARY] 국내 체류 외국인인 필리핀 지게차 수리작업 근로자를 위한 안전보건 OPL",(OPL) 지게차 수리 중 포크 불시하강으로 깔림,0.7694821953773499,"[TITLE] (OPL) 지게차 수리 중 포크 불시하강으로 깔림
[SUMMARY] 국내 체류 외국인인 중국 근로자를 위한 안전보건 OPL",,0,0
bge_m3,4,상하차 작업 안전보건 OPS 찾아줘,지게차 재해사례와 위험요인,[근로자용] 동력식 대차 작업안전,0.6800476312637329,"[TITLE] [근로자용] 동력식 대차 작업안전
[SUMMARY] 위험기계·기구(동력식 대차) 작업안전에 관한 근로자용 OPS 자료입니다.",장년근로자의 안전보건(운전원),0.6914856433868408,"[TITLE] 장년근로자의 안전보건(운전원)
[SUMMARY] 장년근로자(운전원)의 안전하고 건강한 근로환경 조성을 위한 OPS",[한 눈에 보는] 이동식 사다리 작업안전수칙 OPS,0.6917759776115417,"[TITLE] [한 눈에 보는] 이동식 사다리 작업안전수칙 OPS
[SUMMARY] 이동식사다리를 이용한 작업 시 꼭 알아야 할 주요 안전수칙에 대한 인포그래픽 OPS ※ 본 콘텐츠는 모든 의무사항을 포함하고 있지 않으므로 자세한 내용은 산업안전보건법을 참고하시길 바랍니다.",[관리자용] 동력식 대차 작업안전,0.70070880651474,"[TITLE] [관리자용] 동력식 대차 작업안전
[SUMMARY] 위험기계·기구(동력식 대차) 작업안전에 관한 관리자용 OPS 자료입니다.",[근로자용] 지게차 작업안전,0.7101060748100281,"[TITLE] [근로자용] 지게차 작업안전
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 근로자용 OPS 자료입니다.",무너짐 위험이 높은 굴착작업 OPS,0.7132049202919006,"[TITLE] 무너짐 위험이 높은 굴착작업 OPS
[SUMMARY] 건설현장 안전보건지킴이 순찰 시 건설현장 배포용 기술자료",,0,0
bge_m3,5,지게차 작업 전 점검표 OPS 자료 검색,작업 전 안전점검(지게차) - 자율안전점검표 포함,[관리자용] 지게차 작업안전,0.49958956241607666,"[TITLE] [관리자용] 지게차 작업안전
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 관리자용 OPS 자료입니다.",[근로자용] 지게차 작업안전,0.5077052712440491,"[TITLE] [근로자용] 지게차 작업안전
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 근로자용 OPS 자료입니다.",[안전기준] 지게차,0.5081775784492493,"[TITLE] [안전기준] 지게차
[SUMMARY] 산업안전보건기준에 관한 규칙 OPS 자료",지게차 작업안전(16개국어),0.5522827506065369,"[TITLE] 지게차 작업안전(16개국어)
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 근로자용 OPS 자료입니다.",[작업전 안전점검 OPL_설비별] 지게차,0.6229318380355835,"[TITLE] [작업전 안전점검 OPL_설비별] 지게차
[SUMMARY] [작업전 안전점검 OPL_설비별] 지게차",작업 전 안전점검(지게차) - 자율안전점검표 포함,0.6311554908752441,"[TITLE] 작업 전 안전점검(지게차) - 자율안전점검표 포함
[SUMMARY] 작업 전 안전점검(지게차) - 재해사례 및 자율안전 점검표",6.0,0,1
bge_m3,6,지붕공사 작업안전수칙 찾아줘,축사 지붕공사 추락사고 예방 OPS,[한 눈에 보는] 지붕공사 주요 작업안전수칙 포스터,0.4860013425350189,"[TITLE] [한 눈에 보는] 지붕공사 주요 작업안전수칙 포스터
[SUMMARY] 지붕 작업 시 꼭 알아야 할 주요 안전수칙에 대한 인포그래픽 포스터 ※ 본 포스터는 모든 의무사항을 포함하고 있지 않으므로 자세한 내용은 산업안전보건법을 참고하시길 바랍니다.",[안전보건규칙 개정] 지붕작업 안전수칙,0.5740658044815063,"[TITLE] [안전보건규칙 개정] 지붕작업 안전수칙
[SUMMARY] 산업안전보건기준에 관한 규칙이 개정(2021.11.19.시행)됨에 따라 지붕작업 안전수칙을 안내해드립니다.",지붕작업 안전수칙,0.5844031572341919,"[TITLE] 지붕작업 안전수칙
[SUMMARY] 지붕작업 시 안전수칙에 관한 교육용 교안(PPT)자료입니다.",[안전쏙] 지붕 수리작업,0.6137896180152893,"[TITLE] [안전쏙] 지붕 수리작업
[SUMMARY] ㅇ 안전을 한눈에 쏙! 지붕 수리작업 시 떨어짐 재해예방을 위한 쇼츠(Shorts) 영상 ㅇ 사고사례와 안전수칙을 2D 그래픽으로 이해하기 쉽게! ※ 사고사례는 실제 사례를 바탕으로 재구성",지붕공사 추락위험 안전점검수칙,0.6283179521560669,"[TITLE] 지붕공사 추락위험 안전점검수칙
[SUMMARY] 5월부터 급증하는 지붕공사 중 추락 재해를 예방하기위해 '중대재해사례','예방대책', '키-메시지', '안전점검표'를 포함한 미디어를 배포하고자 합니다.",[안전쏙] 지붕 설치작업,0.6326432824134827,"[TITLE] [안전쏙] 지붕 설치작업
[SUMMARY] ㅇ 안전을 한눈에 쏙! 지붕 설치작업 시 떨어짐 재해예방을 위한 쇼츠(Shorts) 영상 ㅇ 사고사례와 안전수칙을 2D 그래픽으로 이해하기 쉽게! ※ 사고사례는 실제 사례를 바탕으로 재구성",,0,0
bge_m3,7,회전체 끼임사고 예방 OPS 검색,[안전기준] 원동기·회전축 위험방지 등,(캠페인) 추락·끼임사고 예방 일제점검 안내 OPS,0.726216733455658,"[TITLE] (캠페인) 추락·끼임사고 예방 일제점검 안내 OPS
[SUMMARY] 사고사망 감축을 위한 추락·끼임사고 예방 일제점검 관련 안내",(캠페인) 끼임사고 예방 일제점검 안내 및 자율점검표 OPS,0.7438861727714539,"[TITLE] (캠페인) 끼임사고 예방 일제점검 안내 및 자율점검표 OPS
[SUMMARY] - 끼임사고 예방 일제점검 안내 - 끼임 예방을 위한 자율점검표 - 코로나19 방역 및 폭염 관련 점검표","제조업 작은설비 끼임, 낮은높이 추락 사고 예방 OPS",0.7957811951637268,"[TITLE] 제조업 작은설비 끼임, 낮은높이 추락 사고 예방 OPS
[SUMMARY] 소규모 제조업 사업장 대상 작은설비 끼임, 낮은높이 추락 사고 예방 OPS",[항만하역 재해사례] 컨베이어 주변 정리정돈 및 작동확인 중 끼임,0.8025726079940796,"[TITLE] [항만하역 재해사례] 컨베이어 주변 정리정돈 및 작동확인 중 끼임
[SUMMARY] 항만근로자 재해예방을 위해 안전보건공단과 울산항만공사가 공동으로 제작한 항만하역 재해사례 OPS 입니다.",달비계 작업 추락사고 예방,0.8114390969276428,"[TITLE] 달비계 작업 추락사고 예방
[SUMMARY] 달비계 작업 추락사고 예방을 위한 OPS",[관리자용] 레지오넬라증 직업성 질병 예방,0.8235671520233154,"[TITLE] [관리자용] 레지오넬라증 직업성 질병 예방
[SUMMARY] 중대재해처벌법 상 직업성 질병 예방을 위한 OPS 자료",,0,0
bge_m3,8,자동라인 청소 중 사고 예방수칙,(기타제조업)자동화설비 취급작업,크레인 작업 사망사고 예방,0.7774366140365601,"[TITLE] 크레인 작업 사망사고 예방
[SUMMARY] 크레인 작업 사망사고 예방 OPL 1. 핵심 실천사항 2. 사고사례 3. 주요 위험포인트",[안전보건 OPL]정비 보수 청소 등 비일상 작업 시 사고예방,0.7870700359344482,"[TITLE] [안전보건 OPL]정비 보수 청소 등 비일상 작업 시 사고예방
[SUMMARY] [안전보건 OPL]정비 보수 청소 등 비일상 작업 시 사고예방",건설기계장비 사망사고 예방을 위한 안전작업가이드라인(이동식크레인-차량탑재형),0.8125581741333008,"[TITLE] 건설기계장비 사망사고 예방을 위한 안전작업가이드라인(이동식크레인-차량탑재형)
[SUMMARY] 건설기계장비 사망사고 예방을 위한 안전작업가이드라인(이동식크레인-차량탑재형) -이동식크레인 관련 용어설명 -이동식크레인(차량탑재형) 안전작업 수칙 -이동식크레인(차량탑재형) 안전작업계획서 작성요령 및 예싱 -이동식크레인(차량탑재형) 설치 시 준수사항 등",작업장 안전사고예방,0.8264063596725464,"[TITLE] 작업장 안전사고예방
[SUMMARY] 넘어짐, 사고는 순간이다 - 작업 전 정리,정돈 및 안전통로 확보가 안전의 시작입니다.",작업 안전수칙 생명을 지킨다,0.8309704065322876,"[TITLE] 작업 안전수칙 생명을 지킨다
[SUMMARY] 작업 안전수칙 생명을 지킨다 1. 수거차량 발판 탑승 금지 2. 차량운행 시 적재함 탑승 금지 3. 안전모, 반사조끼 등 착용",[2017 안전보건 애니메이션] 범용선반 작업안전,0.8311305046081543,"[TITLE] [2017 안전보건 애니메이션] 범용선반 작업안전
[SUMMARY] o 재해 상황 - 범용 선반 작업 중 발생하는 긴 유동칩을 팔(손)으로 쳐내다가 말림 o 발생 과정 - 작업에서 발생한 유동칩의 문제를 확인하고도 별도의 대책을 마련하지 않음 - 칩을 제거하는 방법으로 신체(팔, 손 등)를 사용하다가 칩에 걸려 말림 o 예방대책 - 절삭으로 인한 칩이 길게 늘어지지 않도록 끊어주는 칩브레이커 설치 - 가공물과 함께 긴 유동칩이 회전할 때는 칩을 제거하기 위한 보조도구를 사용 - 칩 비산과 튀어나온 가공물로부터 신체를 ",,0,0
bge_m3,9,설비 정비 중 갑자기 작동하는 사고 관련 자료,LOTO 작업절차 바로알기,"[Quick Message] 기계설비 점검, 수리 중 끼임사고 연속발생",0.6992138028144836,"[TITLE] [Quick Message] 기계설비 점검, 수리 중 끼임사고 연속발생
[SUMMARY] 최근 기계설비 점검, 수리 작업 중 끼임 사망사고가 연이어 발생함에 따라, 안전한 작업방법 및 관련 콘텐츠 링크를 안내해드립니다.",[중대재해_기계기구]조형기 작동 위험구역에 접근하여 청소 중 끼임,0.7251331806182861,"[TITLE] [중대재해_기계기구]조형기 작동 위험구역에 접근하여 청소 중 끼임
[SUMMARY] 중대재해사례 OPL",[근로자용] 주차설비 작업안전,0.7291600108146667,"[TITLE] [근로자용] 주차설비 작업안전
[SUMMARY] 위험기계·기구(주차설비) 작업안전에 관한 근로자용 OPS 자료입니다.",[중대재해_기계기구]기계설비 제작을 위해 작업발판 이동 중 떨어짐,0.7329363226890564,"[TITLE] [중대재해_기계기구]기계설비 제작을 위해 작업발판 이동 중 떨어짐
[SUMMARY] 기계설비 제작을 위해 작업발판 이동 중 떨어짐-중대재해사례 OPL",[Quick Message] 공작기계 작업/점검 중 사망사고 연속 발생,0.7478781938552856,"[TITLE] [Quick Message] 공작기계 작업/점검 중 사망사고 연속 발생
[SUMMARY] 최근 공작기계 작업/수리/점검 중 끼이거나 날아온 물체 등에 맞는 사망재해가 연이어 발생함에 따라, 안전한 작업방법 및 관련 콘텐츠 링크를 안내해드립니다.",[근로자용] 건조설비 작업안전,0.7482290863990784,"[TITLE] [근로자용] 건조설비 작업안전
[SUMMARY] 위험기계·기구(건조설비) 작업안전에 관한 근로자용 OPS 자료입니다.",,0,0
bge_m3,10,밀폐공간 질식사고 예방자료 검색,24년 밀폐공간 질식재해예방 안전작업 가이드,키메세지(8월_질식재해예방),0.6077876091003418,"[TITLE] 키메세지(8월_질식재해예방)
[SUMMARY] - 밀폐공간 질식재해 예방 대책 안내 - 질식재해 관련 콘텐츠 안내 (콘텐츠 바로가기 링크 탑재)",밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP1),0.6200939416885376,"[TITLE] 밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP1)
[SUMMARY] 산업안전보건기준에 관한 규칙 별표18(밀폐공간) 11호에 해당하는 밀폐공간작업시 질식재해를 예방하기 위한 매뉴얼",밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP6),0.6257843971252441,"[TITLE] 밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP6)
[SUMMARY] 산업안전보건기준에 관한 규칙 별표18(밀폐공간) 15호에 해당하는 밀폐공간작업시 질식재해를 예방하기 위한 매뉴얼",밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP7),0.628406822681427,"[TITLE] 밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP7)
[SUMMARY] 산업안전보건기준에 관한 규칙 별표18(밀폐공간) 18호에 해당하는 밀폐공간작업시 질식재해를 예방하기 위한 매뉴얼",밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP4),0.6291015148162842,"[TITLE] 밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP4)
[SUMMARY] 산업안전보건기준에 관한 규칙 별표18(밀폐공간) 6호에 해당하는 밀폐공간작업시 질식재해를 예방하기 위한 매뉴얼",밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP3),0.6329688429832458,"[TITLE] 밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP3)
[SUMMARY] 산업안전보건기준에 관한 규칙 별표18(밀폐공간) 13호에 해당하는 밀폐공간작업시 질식재해를 예방하기 위한 매뉴얼",,0,0
