model_name,query_idx,query,gold_title,top1_title,top1_distance,top1_document,top2_title,top2_distance,top2_document,top3_title,top3_distance,top3_document,top4_title,top4_distance,top4_document,top5_title,top5_distance,top5_document,top6_title,top6_distance,top6_document,correct_rank,top1_accuracy,top6_recall
bge_m3_ko,1,지게차 운전자의 안전수칙이 있는 OPS 검색해줘,[특수형태근로종사자] 지게차,[안전기준] 지게차,0.6893296241760254,"[TITLE] [안전기준] 지게차
[SUMMARY] 산업안전보건기준에 관한 규칙 OPS 자료",[관리자용] 지게차 작업안전,0.6898971199989319,"[TITLE] [관리자용] 지게차 작업안전
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 관리자용 OPS 자료입니다.",[근로자용] 지게차 작업안전,0.7051058411598206,"[TITLE] [근로자용] 지게차 작업안전
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 근로자용 OPS 자료입니다.",지게차 작업안전(16개국어),0.7244428992271423,"[TITLE] 지게차 작업안전(16개국어)
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 근로자용 OPS 자료입니다.",지게차 안전수칙이 생명수칙,0.8421017527580261,"[TITLE] 지게차 안전수칙이 생명수칙
[SUMMARY] 지게차 안전수칙이 생명수칙 1. 면허 소지자가 운전 2. 운전자 시야 확보 3. 좌석 안전벨트 착용",[VR 콘텐츠 미리보기] 지게차 재해사례 OPS,0.8527746796607971,"[TITLE] [VR 콘텐츠 미리보기] 지게차 재해사례 OPS
[SUMMARY] 2024년도 VR 지게차 재해사례 콘텐츠 속 핵심 내용을 담았습니다. 물류센터 지게차 작업의 유해·위험요인과 안전수칙을 확인하세요. - 지게차 부딪힘, 떨어짐, 끼임 재해사례 -VR 영상 링크 : https://360vr.kosha.or.kr/contentDetail?contSq=1280&cateSq=8&subCateSq=0&codeId=mc01,mc02,mc03,mc04&sortOrder=createOrder",,0,0
bge_m3_ko,2,물류창고에서 후진 중 충돌사고 예방자료 찾아줘,[중대재해사례 OPL]동료작업자가 후진하는 지게차에 부딪힘,"(HMD용) [충돌] 트럭류(덤프, 화물) 차량 작업",1.0520336627960205,"[TITLE] (HMD용) [충돌] 트럭류(덤프, 화물) 차량 작업
[SUMMARY] 해당 VR 콘텐츠는 4대 악성사고인 충돌 사고 등을 예방하기 위해 트럭류(덤프, 화물) 차량 취급 작업 시 관련 유해,위험요인, 안전대책 등을 담은교육 자료입니다. 또한 카드보드와 같은 HMD을 활용해 VR 체험을 할 수 있습니다. <p>&nbsp;</p>",&lt;한국토지주택공사&gt; 건설현장 굴착기 후진 중 충돌 등 VR콘텐츠-3,1.0592753887176514,"[TITLE] &lt;한국토지주택공사&gt; 건설현장 굴착기 후진 중 충돌 등 VR콘텐츠-3
[SUMMARY] 본 콘텐츠는 한국토지주택공사(LH)에서 우리 공단과의 업무협약의 일환으로 <br>사업장 안전보건교육을 위해 ""건설현장 사고사례 12가지""를 주제로 제작한 안전보건 VR콘텐츠입니다.<br><br> 1편 : (1) 토사 붕괴로 매몰, (2) 관 절단 중 파편에 찔림, (3) 중량물 인양 중 자재에 깔림<br> 2편 : (1) 거푸집 단부 추락, (2) 크레인 중량물 인양 중 깔림, (3) 사다리 작업 중 추락<br> 3편 : ",[2017 안전보건 애니메이션] 덤프트럭 작업안전,1.0780489444732666,"[TITLE] [2017 안전보건 애니메이션] 덤프트럭 작업안전
[SUMMARY] o 재해 상황 - 덤프트럭이 작업 장소를 옮기고 하역할 때 후진하다가 주변을 작업자와 부딪힘 o 발생 과정 - 덤프트럭 운전수는 작업장소를 옮기고도 주변의 통제없이 운행 - 작업장소에서 덤프트럭을 후진시키는 과정에서 사각지대에 있는 근로자와 충돌 o 예방대책 - 차량용 운반기계를 이용한 작업 시 전담 유도자를 배치하여 작업 - 작업 순서를 준수하여 관련 사고를 예방해야 함 - 충돌위험장소 등에는 허가되지 않은 근로자의 출입을 통제하는 조치가 필요함 o","[충돌] 트럭류(덤프, 화물) 차량 작업",1.0789695978164673,"[TITLE] [충돌] 트럭류(덤프, 화물) 차량 작업
[SUMMARY] 해당 VR 콘텐츠는 4대 악성사고인 충돌 사고 등을 예방하기 위해 트럭류(덤프, 화물) 차량 취급 작업 시 관련 유해,위험요인, 안전대책 등을 담은 교육 자료로 기존 교안(PPT)을 대용하시면 됩니다.<br><p>&nbsp;</p>",[HMD/HP] 지게차 상차 작업 중 충돌 사고 중심 위험찾기,1.0930020809173584,"[TITLE] [HMD/HP] 지게차 상차 작업 중 충돌 사고 중심 위험찾기
[SUMMARY] <table class=""__se_tbl_ext"" border=""0"" cellpadding=""0"" cellspacing=""0"" width=""645"" style=""border-collapse: collapse;width:484pt""> <colgroup><col width=""645"" style=""mso-width-source:userset;mso-width-alt:20640;width:484pt""> </colgroup><tbody><tr he",(지게차) 안전보건 VR 충돌재해예방 교재,1.0957437753677368,"[TITLE] (지게차) 안전보건 VR 충돌재해예방 교재
[SUMMARY] 교재와 함께 VR콘텐츠를 체험하면 교육 효과가 200% - VR전용관(360vr.kosha.or.kr) 및 안전보건자료실에 접속 - VR콘텐츠를 다운로드 받은 후, 교재와 함께 근로자 교육 실시 - 교재로 배우고! VR콘텐츠로 경험하고!",,0,0
bge_m3_ko,3,포크에 화물 싣고 이동할 때 주의사항 자료,지게차 재해사례와 위험요인,[중대재해사례]지게차 포크에 탑승하여 이동 중 추락,0.9375929832458496,"[TITLE] [중대재해사례]지게차 포크에 탑승하여 이동 중 추락
[SUMMARY] [중대재해사례]지게차 포크에 탑승하여 이동 중 추락",[중대재해_수송용]지게차 유압호스 수리작업 중 포크 불시하강으로 깔림,0.9432340264320374,"[TITLE] [중대재해_수송용]지게차 유압호스 수리작업 중 포크 불시하강으로 깔림
[SUMMARY] 중대재해사례 OPL : 지게차 유압호스 수리작업 중 포크 불시하강으로 깔림",[한 눈에 보는] 화물차 주요 작업안전수칙 포스터,0.9617939591407776,"[TITLE] [한 눈에 보는] 화물차 주요 작업안전수칙 포스터
[SUMMARY] 화물운반트럭을 이용한 작업 시 꼭 알아야 할 주요 안전수칙에 대한 인포그래픽 포스터 ※ 본 포스터는 모든 의무사항을 포함하고 있지 않으므로 자세한 내용은 산업안전보건법을 참고하시길 바랍니다.",이삿짐운반용 리프트 안전수칙(OPL),0.9899324178695679,"[TITLE] 이삿짐운반용 리프트 안전수칙(OPL)
[SUMMARY] 봄철 이사 급증으로 이삿짐운반용 리프트 안전수칙 기술정보 자료",(OPL) 지게차 수리 중 포크 불시하강으로 깔림,0.9934893846511841,"[TITLE] (OPL) 지게차 수리 중 포크 불시하강으로 깔림
[SUMMARY] 국내 체류 외국인인 키르키스스탄 근로자를 위한 안전보건 OPL, 지게차 수리 중 포크 불시하강으로 깔리는 재해에 대한 설명과 재해사례를 담음",(OPL) 지게차 수리 중 포크 불시하강으로 깔림,1.0223978757858276,"[TITLE] (OPL) 지게차 수리 중 포크 불시하강으로 깔림
[SUMMARY] 국내 체류 외국인인 중국 근로자를 위한 안전보건 OPL",,0,0
bge_m3_ko,4,상하차 작업 안전보건 OPS 찾아줘,지게차 재해사례와 위험요인,[근로자용] 동력식 대차 작업안전,0.8623600006103516,"[TITLE] [근로자용] 동력식 대차 작업안전
[SUMMARY] 위험기계·기구(동력식 대차) 작업안전에 관한 근로자용 OPS 자료입니다.",장년근로자의 안전보건(운전원),0.871890127658844,"[TITLE] 장년근로자의 안전보건(운전원)
[SUMMARY] 장년근로자(운전원)의 안전하고 건강한 근로환경 조성을 위한 OPS",2021 안전보건자료 활용가이드 OPS,0.8727056384086609,"[TITLE] 2021 안전보건자료 활용가이드 OPS
[SUMMARY] 한 장으로 정리한 안전보건 활용가이드 OPS입니다. <안전보건자료를 만나는 6가지 방법> 1. 홈페이지(안전보건자료실, 안전보건 e-Book) 2. 스마트폰 앱(위기탈출 안전보건) 3. 미디어 현장배송 서비스 http://media.kosha.or.kr/main 4. 유튜브(안전보건공단안젤이) https://www.youtube.com/user/koshamovie 5. VR전용관 https://360vr.kosha.or.kr/main 6. 가까운 일선기관 방문",자동차 아래 수리작업안전,0.8974024057388306,"[TITLE] 자동차 아래 수리작업안전
[SUMMARY] 안전보건 OPL",[한 눈에 보는] 이동식 사다리 작업안전수칙 OPS,0.9019421339035034,"[TITLE] [한 눈에 보는] 이동식 사다리 작업안전수칙 OPS
[SUMMARY] 이동식사다리를 이용한 작업 시 꼭 알아야 할 주요 안전수칙에 대한 인포그래픽 OPS ※ 본 콘텐츠는 모든 의무사항을 포함하고 있지 않으므로 자세한 내용은 산업안전보건법을 참고하시길 바랍니다.",[관리자용] 동력식 대차 작업안전,0.9024600386619568,"[TITLE] [관리자용] 동력식 대차 작업안전
[SUMMARY] 위험기계·기구(동력식 대차) 작업안전에 관한 관리자용 OPS 자료입니다.",,0,0
bge_m3_ko,5,지게차 작업 전 점검표 OPS 자료 검색,작업 전 안전점검(지게차) - 자율안전점검표 포함,[관리자용] 지게차 작업안전,0.61500084400177,"[TITLE] [관리자용] 지게차 작업안전
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 관리자용 OPS 자료입니다.",[근로자용] 지게차 작업안전,0.6231400370597839,"[TITLE] [근로자용] 지게차 작업안전
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 근로자용 OPS 자료입니다.",[안전기준] 지게차,0.641010582447052,"[TITLE] [안전기준] 지게차
[SUMMARY] 산업안전보건기준에 관한 규칙 OPS 자료",지게차 작업안전(16개국어),0.6734822392463684,"[TITLE] 지게차 작업안전(16개국어)
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 근로자용 OPS 자료입니다.",작업 전 안전점검(지게차) - 자율안전점검표 포함,0.734003484249115,"[TITLE] 작업 전 안전점검(지게차) - 자율안전점검표 포함
[SUMMARY] 작업 전 안전점검(지게차) - 재해사례 및 자율안전 점검표",[작업전 안전점검 OPL_설비별] 지게차,0.7669671773910522,"[TITLE] [작업전 안전점검 OPL_설비별] 지게차
[SUMMARY] [작업전 안전점검 OPL_설비별] 지게차",5.0,0,1
bge_m3_ko,6,지붕공사 작업안전수칙 찾아줘,축사 지붕공사 추락사고 예방 OPS,[한 눈에 보는] 지붕공사 주요 작업안전수칙 포스터,0.609437108039856,"[TITLE] [한 눈에 보는] 지붕공사 주요 작업안전수칙 포스터
[SUMMARY] 지붕 작업 시 꼭 알아야 할 주요 안전수칙에 대한 인포그래픽 포스터 ※ 본 포스터는 모든 의무사항을 포함하고 있지 않으므로 자세한 내용은 산업안전보건법을 참고하시길 바랍니다.",지붕공사 작업안전 OPS,0.7227073311805725,"[TITLE] 지붕공사 작업안전 OPS
[SUMMARY] 지붕공사 작업안전 OPS",[안전보건규칙 개정] 지붕작업 안전수칙,0.7233180999755859,"[TITLE] [안전보건규칙 개정] 지붕작업 안전수칙
[SUMMARY] 산업안전보건기준에 관한 규칙이 개정(2021.11.19.시행)됨에 따라 지붕작업 안전수칙을 안내해드립니다.",지붕공사 작업안전(개정판),0.7466080784797668,"[TITLE] 지붕공사 작업안전(개정판)
[SUMMARY] 지붕공사 작업안전 매뉴얼 개정판",지붕작업 사고사례 및 핵심예방조치 안내,0.7618333101272583,"[TITLE] 지붕작업 사고사례 및 핵심예방조치 안내
[SUMMARY] 지붕작업 사고사례 및 핵심예방조치 안내 - 재해사례 및 자율안전점검표",지붕작업 안전수칙,0.763802707195282,"[TITLE] 지붕작업 안전수칙
[SUMMARY] 지붕작업 시 안전수칙에 관한 교육용 교안(PPT)자료입니다.",,0,0
bge_m3_ko,7,회전체 끼임사고 예방 OPS 검색,[안전기준] 원동기·회전축 위험방지 등,(캠페인) 추락·끼임사고 예방 일제점검 안내 OPS,0.8028430938720703,"[TITLE] (캠페인) 추락·끼임사고 예방 일제점검 안내 OPS
[SUMMARY] 사고사망 감축을 위한 추락·끼임사고 예방 일제점검 관련 안내",(캠페인) 끼임사고 예방 일제점검 안내 및 자율점검표 OPS,0.8711280226707458,"[TITLE] (캠페인) 끼임사고 예방 일제점검 안내 및 자율점검표 OPS
[SUMMARY] - 끼임사고 예방 일제점검 안내 - 끼임 예방을 위한 자율점검표 - 코로나19 방역 및 폭염 관련 점검표",[항만하역 재해사례] 컨베이어 주변 정리정돈 및 작동확인 중 끼임,0.8871230483055115,"[TITLE] [항만하역 재해사례] 컨베이어 주변 정리정돈 및 작동확인 중 끼임
[SUMMARY] 항만근로자 재해예방을 위해 안전보건공단과 울산항만공사가 공동으로 제작한 항만하역 재해사례 OPS 입니다.","제조업 작은설비 끼임, 낮은높이 추락 사고 예방 OPS",0.891105055809021,"[TITLE] 제조업 작은설비 끼임, 낮은높이 추락 사고 예방 OPS
[SUMMARY] 소규모 제조업 사업장 대상 작은설비 끼임, 낮은높이 추락 사고 예방 OPS","[외국인]LOTO작업절차 OPS (네팔어,베트남어,영어,우즈벡어,중국어,태국어)",0.9342215657234192,"[TITLE] [외국인]LOTO작업절차 OPS (네팔어,베트남어,영어,우즈벡어,중국어,태국어)
[SUMMARY] 끼임사고 예방 LOTO작업절차 안내 OPS ※ 그 외 10개 언어(동티모르, 방글라데시 등)는 아래의 사이트 바로가기 [[[GO]]] 클릭",달비계 작업 추락사고 예방,0.9428117871284485,"[TITLE] 달비계 작업 추락사고 예방
[SUMMARY] 달비계 작업 추락사고 예방을 위한 OPS",,0,0
bge_m3_ko,8,자동라인 청소 중 사고 예방수칙,(기타제조업)자동화설비 취급작업,[안전보건 OPL]정비 보수 청소 등 비일상 작업 시 사고예방,0.9208820462226868,"[TITLE] [안전보건 OPL]정비 보수 청소 등 비일상 작업 시 사고예방
[SUMMARY] [안전보건 OPL]정비 보수 청소 등 비일상 작업 시 사고예방",크레인 작업 사망사고 예방,0.9435861706733704,"[TITLE] 크레인 작업 사망사고 예방
[SUMMARY] 크레인 작업 사망사고 예방 OPL 1. 핵심 실천사항 2. 사고사례 3. 주요 위험포인트",[중대재해사례]로봇 자동용접라인 점검 중 협착,0.954184889793396,"[TITLE] [중대재해사례]로봇 자동용접라인 점검 중 협착
[SUMMARY] [중대재해사례]로봇 자동용접라인 점검 중 협착",[2017 안전보건 애니메이션] 롤러 작업안전,0.976065456867218,"[TITLE] [2017 안전보건 애니메이션] 롤러 작업안전
[SUMMARY] o 재해 상황 - 구동하는 롤러에 묻어있는 이물질을 손으로 제거하다가 롤러사이에 물림 o 발생 과정 - 생산제품에 발생하는 문제의 원인이 롤러 표면에 묻어있는 이물질임을 파악 - 롤러의 이물을 제거하려면 설비를 정지시켜야 함을 알고도 그렇게 진행하지 않음 o 예방대책 - 점검, 수리, 청소 작업을 하는 경우 설비의 전원을 차단하고 수행 - 롤러의 가동 중 청소가 필요한 경우 브러쉬 등 보조도구 사용 - 비상 시 작동시킬 수 있는 비상정지장치와 연동된 급정",정비·보수 작업 끼임 사망사고 예방,0.9814099669456482,"[TITLE] 정비·보수 작업 끼임 사망사고 예방
[SUMMARY] 정비·보수 작업 끼임 사망사고 예방 OPL 1. 핵심 실천사항 2. 사고사례 3. 주요 위험포인트",건설기계장비 사망사고 예방을 위한 안전작업가이드라인(이동식크레인-차량탑재형),1.0005793571472168,"[TITLE] 건설기계장비 사망사고 예방을 위한 안전작업가이드라인(이동식크레인-차량탑재형)
[SUMMARY] 건설기계장비 사망사고 예방을 위한 안전작업가이드라인(이동식크레인-차량탑재형) -이동식크레인 관련 용어설명 -이동식크레인(차량탑재형) 안전작업 수칙 -이동식크레인(차량탑재형) 안전작업계획서 작성요령 및 예싱 -이동식크레인(차량탑재형) 설치 시 준수사항 등",,0,0
bge_m3_ko,9,설비 정비 중 갑자기 작동하는 사고 관련 자료,LOTO 작업절차 바로알기,"[Quick Message] 기계설비 점검, 수리 중 끼임사고 연속발생",0.8537538051605225,"[TITLE] [Quick Message] 기계설비 점검, 수리 중 끼임사고 연속발생
[SUMMARY] 최근 기계설비 점검, 수리 작업 중 끼임 사망사고가 연이어 발생함에 따라, 안전한 작업방법 및 관련 콘텐츠 링크를 안내해드립니다.",기계설치 및 정비 기능 종사자 - 특수차량 정비,0.9396782517433167,"[TITLE] 기계설치 및 정비 기능 종사자 - 특수차량 정비
[SUMMARY] 직종별 OPL(One Point Lesson)자료로 주요 위험요인, 작업안전대책, 재해사례로 구성되어 있음.",[Quick Message] 공작기계 작업/점검 중 사망사고 연속 발생,0.9434496760368347,"[TITLE] [Quick Message] 공작기계 작업/점검 중 사망사고 연속 발생
[SUMMARY] 최근 공작기계 작업/수리/점검 중 끼이거나 날아온 물체 등에 맞는 사망재해가 연이어 발생함에 따라, 안전한 작업방법 및 관련 콘텐츠 링크를 안내해드립니다.",비정형작업 끼임 사망사고 예방 기술자료,0.9488465785980225,"[TITLE] 비정형작업 끼임 사망사고 예방 기술자료
[SUMMARY] 비정형작업 끼임 사망사고 예방 기술자료 및 사고사례",(중국)외국인근로자를 위한 안전보건 OPL,0.9527100920677185,"[TITLE] (중국)외국인근로자를 위한 안전보건 OPL
[SUMMARY] <제조업> 레버풀러 이용 작업 중 체인이 끊어져 떨어짐 대형 상수도관 플랜지 용접 작업 중 깔림 열교환기 기압시험 중 플랜지에 맞음 배합작업 중 회전날 돌출부에 작업복 말림 철판 이송용 컨베이어 하부와 고정 프레임 사이에 끼임 로봇 작업 영역에서 로봇 지그에 부딪힘 비닐 성형, 인쇄 작업 중 전동기 절연파괴로 감전 용해로에 폐 알루미늄 투입 중 수증기 폭발 <건설업> 지붕 채광창 자재를 운반 중 개구부로 떨어짐 외벽 퍼티작업을 위해 달비계에 탑승 중 떨어짐 ",시멘트 및 광물제품용 기계 조작 종사자 - 기계설비 정비작업,0.9540013670921326,"[TITLE] 시멘트 및 광물제품용 기계 조작 종사자 - 기계설비 정비작업
[SUMMARY] 직종별 OPL(One Point Lesson)자료로 주요 위험요인, 작업안전대책, 재해사례로 구성되어 있음.",,0,0
bge_m3_ko,10,밀폐공간 질식사고 예방자료 검색,24년 밀폐공간 질식재해예방 안전작업 가이드,키메세지(8월_질식재해예방),0.6947750449180603,"[TITLE] 키메세지(8월_질식재해예방)
[SUMMARY] - 밀폐공간 질식재해 예방 대책 안내 - 질식재해 관련 콘텐츠 안내 (콘텐츠 바로가기 링크 탑재)",밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP6),0.7491708993911743,"[TITLE] 밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP6)
[SUMMARY] 산업안전보건기준에 관한 규칙 별표18(밀폐공간) 15호에 해당하는 밀폐공간작업시 질식재해를 예방하기 위한 매뉴얼",밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP1),0.7508951425552368,"[TITLE] 밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP1)
[SUMMARY] 산업안전보건기준에 관한 규칙 별표18(밀폐공간) 11호에 해당하는 밀폐공간작업시 질식재해를 예방하기 위한 매뉴얼",밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP7),0.7564971446990967,"[TITLE] 밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP7)
[SUMMARY] 산업안전보건기준에 관한 규칙 별표18(밀폐공간) 18호에 해당하는 밀폐공간작업시 질식재해를 예방하기 위한 매뉴얼",밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP4),0.7590210437774658,"[TITLE] 밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP4)
[SUMMARY] 산업안전보건기준에 관한 규칙 별표18(밀폐공간) 6호에 해당하는 밀폐공간작업시 질식재해를 예방하기 위한 매뉴얼",밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP3),0.7605612874031067,"[TITLE] 밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP3)
[SUMMARY] 산업안전보건기준에 관한 규칙 별표18(밀폐공간) 13호에 해당하는 밀폐공간작업시 질식재해를 예방하기 위한 매뉴얼",,0,0
